10 66
20 231
30 496
40 861
50 1326
60 1891
70 2556
80 3321
90 4186
100 5151
110 6216
120 7381
130 8646
140 10011
150 11476
160 13041
170 14706
180 16471
190 18336
200 20301
100 5151
200 20301
300 45451
400 80601
500 125751
600 180901
700 246051
800 321201
900 406351
1000 501501
1100 606651
1200 721801
1300 846951
1400 982101
1500 1127251
1600 1282401
1700 1447551
1800 1622701
1900 1807851
2000 2003001
1000 501501
2000 2003001
3000 4504501
4000 8006001
5000 12507501
6000 18009001
7000 24510501
8000 32012001
9000 40513501
10000 50015001
