20 295
40 555
60 815
80 1075
100 1335
120 1595
140 1855
160 2115
180 2375
200 2635
220 2895
240 3155
260 3415
280 3675
300 3935
320 4195
340 4455
360 4715
380 4975
400 5235
200 2635
400 5235
600 7835
800 10435
1000 13035
1200 15635
1400 18235
1600 20835
1800 23435
2000 26035
2200 28635
2400 31235
2600 33835
2800 36435
3000 39035
3200 41635
3400 44235
3600 46835
3800 49435
4000 52035
2000 26035
4000 52035
6000 78035
8000 104035
10000 130035
12000 156035
14000 182035
16000 208035
18000 234035
20000 260035
