1000 2004 2002
2000 4004 4002
3000 6004 6002
4000 8004 8002
5000 10004 10002
6000 12004 12002
7000 14004 14002
8000 16004 16002
9000 18004 18002
10000 20004 20002
1000 4006 4002
2000 8006 8002
3000 12006 12002
4000 16006 16002
5000 20006 20002
6000 24006 24002
7000 28006 28002
8000 32006 32002
9000 36006 36002
10000 40006 40002
1000 6008 6002
2000 12008 12002
3000 18008 18002
4000 24008 24002
5000 30008 30002
6000 36008 36002
7000 42008 42002
8000 48008 48002
9000 54008 54002
10000 60008 60002
1000 8010 8002
2000 16010 16002
3000 24010 24002
4000 32010 32002
5000 40010 40002
6000 48010 48002
7000 56010 56002
8000 64010 64002
9000 72010 72002
10000 80010 80002
1000 10012 10002
2000 20012 20002
3000 30012 30002
4000 40012 40002
5000 50012 50002
6000 60012 60002
7000 70012 70002
8000 80012 80002
9000 90012 90002
10000 100012 100002
1000 12014 12002
2000 24014 24002
3000 36014 36002
4000 48014 48002
5000 60014 60002
6000 72014 72002
7000 84014 84002
8000 96014 96002
9000 108014 108002
10000 120014 120002
1000 14016 14002
2000 28016 28002
3000 42016 42002
4000 56016 56002
5000 70016 70002
6000 84016 84002
7000 98016 98002
8000 112016 112002
9000 126016 126002
10000 140016 140002
1000 16018 16002
2000 32018 32002
3000 48018 48002
4000 64018 64002
5000 80018 80002
6000 96018 96002
7000 112018 112002
8000 128018 128002
9000 144018 144002
10000 160018 160002
1000 18020 18002
2000 36020 36002
3000 54020 54002
4000 72020 72002
5000 90020 90002
6000 108020 108002
7000 126020 126002
8000 144020 144002
9000 162020 162002
10000 180020 180002
1000 20022 20002
2000 40022 40002
3000 60022 60002
4000 80022 80002
5000 100022 100002
6000 120022 120002
7000 140022 140002
8000 160022 160002
9000 180022 180002
10000 200022 200002
1000 22024 22002
2000 44024 44002
3000 66024 66002
4000 88024 88002
5000 110024 110002
6000 132024 132002
7000 154024 154002
8000 176024 176002
9000 198024 198002
10000 220024 220002
1000 24026 24002
2000 48026 48002
3000 72026 72002
4000 96026 96002
5000 120026 120002
6000 144026 144002
7000 168026 168002
8000 192026 192002
9000 216026 216002
10000 240026 240002
1000 26028 26002
2000 52028 52002
3000 78028 78002
4000 104028 104002
5000 130028 130002
6000 156028 156002
7000 182028 182002
8000 208028 208002
9000 234028 234002
10000 260028 260002
1000 28030 28002
2000 56030 56002
3000 84030 84002
4000 112030 112002
5000 140030 140002
6000 168030 168002
7000 196030 196002
8000 224030 224002
9000 252030 252002
10000 280030 280002
1000 30032 30002
2000 60032 60002
3000 90032 90002
4000 120032 120002
5000 150032 150002
6000 180032 180002
7000 210032 210002
8000 240032 240002
9000 270032 270002
10000 300032 300002
1000 32034 32002
2000 64034 64002
3000 96034 96002
4000 128034 128002
5000 160034 160002
