0 70
10 690
20 1310
30 1930
40 2550
50 3170
60 3790
70 4410
80 5030
90 5650
100 6270
110 6890
120 7510
130 8130
140 8750
150 9370
160 9990
170 10610
180 11230
190 11850
200 12470
100 6270
200 12470
300 18670
400 24870
500 31070
600 37270
700 43470
800 49670
900 55870
1000 62070
1100 68270
1200 74470
1300 80670
1400 86870
1500 93070
1600 99270
1700 105470
1800 111670
1900 117870
2000 124070
1000 62070
2000 124070
3000 186070
4000 248070
5000 310070
6000 372070
7000 434070
8000 496070
9000 558070
10000 620070
