0 4
10 1244
20 2484
30 3724
40 4964
50 6204
60 7444
70 8684
80 9924
90 11164
100 12404
110 13644
120 14884
130 16124
140 17364
150 18604
160 19844
170 21084
180 22324
190 23564
200 24804
100 12404
200 24804
300 37204
400 49604
500 62004
600 74404
700 86804
800 99204
900 111604
1000 124004
1100 136404
1200 148804
1300 161204
1400 173604
1500 186004
1600 198404
1700 210804
1800 223204
1900 235604
2000 248004
1000 124004
2000 248004
3000 372004
4000 496004
5000 620004
6000 744004
7000 868004
8000 992004
9000 1116004
10000 1240004
