20 272
40 532
60 792
80 1052
100 1312
120 1572
140 1832
160 2092
180 2352
200 2612
220 2872
240 3132
260 3392
280 3652
300 3912
320 4172
340 4432
360 4692
380 4952
400 5212
200 2612
400 5212
600 7812
800 10412
1000 13012
1200 15612
1400 18212
1600 20812
1800 23412
2000 26012
2200 28612
2400 31212
2600 33812
2800 36412
3000 39012
3200 41612
3400 44212
3600 46812
3800 49412
4000 52012
2000 26012
4000 52012
6000 78012
8000 104012
10000 130012
12000 156012
14000 182012
16000 208012
18000 234012
20000 260012
