10 780
20 1490
30 2200
40 2910
50 3620
60 4330
70 5040
80 5750
90 6460
100 7170
110 7880
120 8590
130 9300
140 10010
150 10720
160 11430
170 12140
180 12850
190 13560
200 14270
100 7170
200 14270
300 21370
400 28470
500 35570
600 42670
700 49770
800 56870
900 63970
1000 71070
1100 78170
1200 85270
1300 92370
1400 99470
1500 106570
1600 113670
1700 120770
1800 127870
1900 134970
2000 142070
1000 71070
2000 142070
3000 213070
4000 284070
5000 355070
6000 426070
7000 497070
8000 568070
9000 639070
10000 710070
