0 130
10 1230
20 1898
30 2458
40 3126
50 3686
60 4246
70 4914
80 5474
90 6034
100 6594
110 7154
120 7714
130 8382
140 8942
150 9502
160 10062
170 10622
180 11182
190 11742
200 12302
100 6594
200 12302
300 18010
400 23610
500 29210
600 34918
700 40518
800 46118
900 51718
1000 57318
1100 63026
1200 68626
1300 74226
1400 79826
1500 85426
1600 91026
1700 96626
1800 102226
1900 107826
2000 113426
1000 57318
2000 113426
3000 169534
4000 225534
5000 281642
6000 337642
7000 393642
8000 449642
9000 505750
10000 561750
