0 130
10 1210
20 1858
30 2398
40 3046
50 3586
60 4126
70 4774
80 5314
90 5854
100 6394
110 6934
120 7474
130 8122
140 8662
150 9202
160 9742
170 10282
180 10822
190 11362
200 11902
100 6394
200 11902
300 17410
400 22810
500 28210
600 33718
700 39118
800 44518
900 49918
1000 55318
1100 60826
1200 66226
1300 71626
1400 77026
1500 82426
1600 87826
1700 93226
1800 98626
1900 104026
2000 109426
1000 55318
2000 109426
3000 163534
4000 217534
5000 271642
6000 325642
7000 379642
8000 433642
9000 487750
10000 541750
