0 31 15
1 130 114
2 295 279
3 526 510
4 823 807
5 1186 1170
6 1615 1599
7 2110 2094
8 2671 2655
9 3298 3282
10 3991 3975
11 4750 4734
12 5575 5559
13 6466 6450
14 7423 7407
15 8446 8430
16 9535 9519
17 10690 10674
18 11911 11895
19 13198 13182
20 14551 14535
21 15970 15954
22 17455 17439
23 19006 18990
24 20623 20607
25 22306 22290
26 24055 24039
27 25870 25854
28 27751 27735
29 29698 29682
30 31711 31695
100 336631 336615
150 752431 752415
200 1333231 1333215
250 2079031 2079015
300 2989831 2989815
350 4065631 4065615
400 5306431 5306415
450 6712231 6712215
500 8283031 8283015
550 10018831 10018815
600 11919631 11919615
650 13985431 13985415
700 16216231 16216215
750 18612031 18612015
800 21172831 21172815
850 23898631 23898615
900 26789431 26789415
950 29845231 29845215
1000 33066031 33066015
