0 18 18
10 572 532
20 2163 2083
30 4247 4127
40 7708 7548
50 11322 11122
60 16653 16413
70 21797 21517
80 28998 28678
90 35672 35312
100 44743 44343
110 52947 52507
120 63888 63408
130 73622 73102
140 86433 85873
150 97697 97097
160 112378 111738
170 125172 124492
180 141723 141003
190 156047 155287
200 174468 173668
100 44743 44343
150 97697 97097
200 174468 173668
250 269072 268072
300 389193 387993
350 525447 524047
400 688918 687318
450 866822 865022
500 1073643 1071643
550 1293197 1290997
600 1543368 1540968
650 1804572 1801972
700 2098093 2095293
750 2400947 2397947
800 2737818 2734618
850 3082322 3078922
900 3462543 3458943
950 3848697 3844897
1000 4272268 4268268
