0 31 31
1 130 87
2 295 209
3 526 397
4 823 651
5 1186 971
6 1615 1357
7 2110 1809
8 2671 2327
9 3298 2911
10 3991 3561
11 4750 4277
12 5575 5059
13 6466 5907
14 7423 6821
15 8446 7801
16 9535 8847
17 10690 9959
18 11911 11137
19 13198 12381
20 14551 13691
21 15970 15067
22 17455 16509
23 19006 18017
24 20623 19591
25 22306 21231
26 24055 22937
27 25870 24709
28 27751 26547
29 29698 28451
30 31711 30421
100 336631 332331
150 752431 745981
200 1333231 1324631
250 2079031 2068281
300 2989831 2976931
350 4065631 4050581
400 5306431 5289231
450 6712231 6692881
500 8283031 8261531
550 10018831 9995181
600 11919631 11893831
650 13985431 13957481
700 16216231 16186131
750 18612031 18579781
800 21172831 21138431
850 23898631 23862081
900 26789431 26750731
950 29845231 29804381
1000 33066031 33023031
