0 28 28
1 118 116
2 268 260
3 478 460
4 748 716
5 1078 1028
6 1468 1396
7 1918 1820
8 2428 2300
9 2998 2836
10 3628 3428
11 4318 4076
12 5068 4780
13 5878 5540
14 6748 6356
15 7678 7228
16 8668 8156
17 9718 9140
18 10828 10180
19 11998 11276
20 13228 12428
21 14518 13636
22 15868 14900
23 17278 16220
24 18748 17596
25 20278 19028
26 21868 20516
27 23518 22060
28 25228 23660
29 26998 25316
30 28828 27028
100 306028 286028
150 684028 639028
200 1212028 1132028
250 1890028 1765028
300 2718028 2538028
350 3696028 3451028
400 4824028 4504028
450 6102028 5697028
500 7530028 7030028
550 9108028 8503028
600 10836028 10116028
650 12714028 11869028
700 14742028 13762028
750 16920028 15795028
800 19248028 17968028
850 21726028 20281028
900 24354028 22734028
950 27132028 25327028
1000 30060028 28060028
