10 37
20 77
30 117
40 157
50 197
60 237
70 277
80 317
90 357
100 397
110 437
120 477
130 517
140 557
150 597
160 637
170 677
180 717
190 757
200 797
100 397
200 797
300 1197
400 1597
500 1997
600 2397
700 2797
800 3197
900 3597
1000 3997
1100 4397
1200 4797
1300 5197
1400 5597
1500 5997
1600 6397
1700 6797
1800 7197
1900 7597
2000 7997
1000 3997
2000 7997
3000 11997
4000 15997
5000 19997
6000 23997
7000 27997
8000 31997
9000 35997
10000 39997
11000 43997
12000 47997
13000 51997
14000 55997
15000 59997
16000 63997
17000 67997
18000 71997
19000 75997
20000 79997
