10 668
20 1274
30 1836
40 2420
50 2982
60 3522
70 4106
80 4646
90 5186
100 5748
110 6288
120 6828
130 7412
140 7952
150 8492
160 9032
170 9572
180 10112
190 10652
200 11214
100 5748
200 11214
300 16658
400 22080
500 27480
600 32924
700 38324
800 43746
900 49146
1000 54546
1100 59990
1200 65390
1300 70790
1400 76190
1500 81590
1600 87012
1700 92412
1800 97812
1900 103212
2000 108612
1000 54546
2000 108612
3000 162656
4000 216678
5000 270722
6000 324722
7000 378744
8000 432744
9000 486788
10000 540788
